date,risk_score,raw_score,threshold,status,n_articles,top_contributor,details_json
2026-02-14,61.53,3.8694,18.52,WARNING,395664,Property_078,"{""Property_078"": {""ratio"": 1.8134, ""contribution"": 0.8134}, ""Property_055"": {""ratio"": 1.7684, ""contribution"": 0.6854}, ""Property_024"": {""ratio"": 1.5439, ""contribution"": 0.434}, ""Property_070"": {""ratio"": 1.4885, ""contribution"": 0.4187}, ""Property_049"": {""ratio"": 1.5601, ""contribution"": 0.3631}, ""Property_013"": {""ratio"": 1.5391, ""contribution"": 0.3324}, ""Property_001"": {""ratio"": 2.0194, ""contribution"": 0.2887}, ""Property_023"": {""ratio"": 1.6738, ""contribution"": 0.1937}, ""Property_113"": {""ratio"": 1.2576, ""contribution"": 0.1287}, ""Property_068"": {""ratio"": 1.6461, ""contribution"": 0.1178}, ""Property_030"": {""ratio"": 1.6589, ""contribution"": 0.0936}, ""Property_110"": {""ratio"": 0.8672, ""contribution"": 0.0}}"
2026-02-17,52.34,3.2918,18.52,WARNING,380131,Property_078,"{""Property_078"": {""ratio"": 1.7038, ""contribution"": 0.7038}, ""Property_055"": {""ratio"": 1.6771, ""contribution"": 0.6039}, ""Property_024"": {""ratio"": 1.4379, ""contribution"": 0.3494}, ""Property_070"": {""ratio"": 1.3935, ""contribution"": 0.3373}, ""Property_049"": {""ratio"": 1.4766, ""contribution"": 0.3089}, ""Property_013"": {""ratio"": 1.4654, ""contribution"": 0.2869}, ""Property_001"": {""ratio"": 1.9288, ""contribution"": 0.263}, ""Property_023"": {""ratio"": 1.5647, ""contribution"": 0.1623}, ""Property_068"": {""ratio"": 1.5381, ""contribution"": 0.0981}, ""Property_113"": {""ratio"": 1.1828, ""contribution"": 0.0913}, ""Property_030"": {""ratio"": 1.6103, ""contribution"": 0.0867}, ""Property_110"": {""ratio"": 0.6709, ""contribution"": 0.0}}"
2026-02-19,39.37,2.4762,18.52,WARNING,379813,Property_078,"{""Property_078"": {""ratio"": 1.5495, ""contribution"": 0.5495}, ""Property_055"": {""ratio"": 1.5288, ""contribution"": 0.4717}, ""Property_001"": {""ratio"": 1.9275, ""contribution"": 0.2626}, ""Property_024"": {""ratio"": 1.2918, ""contribution"": 0.2328}, ""Property_070"": {""ratio"": 1.2582, ""contribution"": 0.2213}, ""Property_013"": {""ratio"": 1.3479, ""contribution"": 0.2145}, ""Property_049"": {""ratio"": 1.329, ""contribution"": 0.2133}, ""Property_023"": {""ratio"": 1.3985, ""contribution"": 0.1145}, ""Property_030"": {""ratio"": 1.6415, ""contribution"": 0.0911}, ""Property_068"": {""ratio"": 1.3733, ""contribution"": 0.0681}, ""Property_113"": {""ratio"": 1.0736, ""contribution"": 0.0368}, ""Property_110"": {""ratio"": 0.5993, ""contribution"": 0.0}}"
2026-02-22,36.11,2.2708,18.52,WARNING,368702,Property_078,"{""Property_078"": {""ratio"": 1.5034, ""contribution"": 0.5034}, ""Property_055"": {""ratio"": 1.4663, ""contribution"": 0.4159}, ""Property_001"": {""ratio"": 1.8604, ""contribution"": 0.2436}, ""Property_049"": {""ratio"": 1.3276, ""contribution"": 0.2124}, ""Property_070"": {""ratio"": 1.244, ""contribution"": 0.2091}, ""Property_024"": {""ratio"": 1.2574, ""contribution"": 0.2054}, ""Property_013"": {""ratio"": 1.3329, ""contribution"": 0.2053}, ""Property_023"": {""ratio"": 1.3546, ""contribution"": 0.1019}, ""Property_030"": {""ratio"": 1.6175, ""contribution"": 0.0877}, ""Property_068"": {""ratio"": 1.339, ""contribution"": 0.0618}, ""Property_113"": {""ratio"": 1.0484, ""contribution"": 0.0242}, ""Property_110"": {""ratio"": 0.2877, ""contribution"": 0.0}}"
2026-02-25,33.32,2.0956,18.52,WARNING,374131,Property_078,"{""Property_078"": {""ratio"": 1.4683, ""contribution"": 0.4683}, ""Property_055"": {""ratio"": 1.4308, ""contribution"": 0.3842}, ""Property_001"": {""ratio"": 1.8947, ""contribution"": 0.2534}, ""Property_024"": {""ratio"": 1.2583, ""contribution"": 0.2061}, ""Property_013"": {""ratio"": 1.3023, ""contribution"": 0.1864}, ""Property_049"": {""ratio"": 1.2857, ""contribution"": 0.1852}, ""Property_070"": {""ratio"": 1.2063, ""contribution"": 0.1769}, ""Property_023"": {""ratio"": 1.3288, ""contribution"": 0.0945}, ""Property_030"": {""ratio"": 1.6285, ""contribution"": 0.0893}, ""Property_068"": {""ratio"": 1.2817, ""contribution"": 0.0514}, ""Property_110"": {""ratio"": 0.293, ""contribution"": 0.0}, ""Property_113"": {""ratio"": 0.9844, ""contribution"": 0.0}}"
2026-02-28,30.83,1.9391,18.52,WARNING,379484,Property_078,"{""Property_078"": {""ratio"": 1.4322, ""contribution"": 0.4322}, ""Property_055"": {""ratio"": 1.3645, ""contribution"": 0.3251}, ""Property_001"": {""ratio"": 1.9634, ""contribution"": 0.2728}, ""Property_024"": {""ratio"": 1.2589, ""contribution"": 0.2066}, ""Property_049"": {""ratio"": 1.2501, ""contribution"": 0.1621}, ""Property_070"": {""ratio"": 1.1868, ""contribution"": 0.1601}, ""Property_013"": {""ratio"": 1.2352, ""contribution"": 0.145}, ""Property_030"": {""ratio"": 1.6956, ""contribution"": 0.0988}, ""Property_023"": {""ratio"": 1.3066, ""contribution"": 0.0881}, ""Property_068"": {""ratio"": 1.2644, ""contribution"": 0.0482}, ""Property_110"": {""ratio"": 0.3182, ""contribution"": 0.0}, ""Property_113"": {""ratio"": 0.9748, ""contribution"": 0.0}}"
2026-03-03,25.98,1.6341,18.52,WARNING,358020,Property_078,"{""Property_078"": {""ratio"": 1.3833, ""contribution"": 0.3833}, ""Property_055"": {""ratio"": 1.3262, ""contribution"": 0.291}, ""Property_001"": {""ratio"": 1.8394, ""contribution"": 0.2377}, ""Property_024"": {""ratio"": 1.2248, ""contribution"": 0.1794}, ""Property_070"": {""ratio"": 1.1543, ""contribution"": 0.1323}, ""Property_049"": {""ratio"": 1.1822, ""contribution"": 0.1181}, ""Property_013"": {""ratio"": 1.1574, ""contribution"": 0.097}, ""Property_030"": {""ratio"": 1.6026, ""contribution"": 0.0856}, ""Property_023"": {""ratio"": 1.2558, ""contribution"": 0.0735}, ""Property_068"": {""ratio"": 1.1988, ""contribution"": 0.0362}, ""Property_110"": {""ratio"": 0.3302, ""contribution"": 0.0}, ""Property_113"": {""ratio"": 0.947, ""contribution"": 0.0}}"
2026-03-04,29.15,1.8332,18.52,WARNING,366159,Property_078,"{""Property_078"": {""ratio"": 1.4341, ""contribution"": 0.4341}, ""Property_055"": {""ratio"": 1.3471, ""contribution"": 0.3096}, ""Property_001"": {""ratio"": 1.8798, ""contribution"": 0.2491}, ""Property_024"": {""ratio"": 1.2595, ""contribution"": 0.207}, ""Property_070"": {""ratio"": 1.2201, ""contribution"": 0.1887}, ""Property_049"": {""ratio"": 1.1843, ""contribution"": 0.1195}, ""Property_013"": {""ratio"": 1.1883, ""contribution"": 0.1161}, ""Property_030"": {""ratio"": 1.6385, ""contribution"": 0.0907}, ""Property_023"": {""ratio"": 1.2744, ""contribution"": 0.0789}, ""Property_068"": {""ratio"": 1.2164, ""contribution"": 0.0395}, ""Property_110"": {""ratio"": 0.4681, ""contribution"": 0.0}, ""Property_113"": {""ratio"": 0.997, ""contribution"": 0.0}}"
2026-03-05,34.5,2.1696,18.52,WARNING,372616,Property_078,"{""Property_078"": {""ratio"": 1.5108, ""contribution"": 0.5108}, ""Property_055"": {""ratio"": 1.3837, ""contribution"": 0.3422}, ""Property_070"": {""ratio"": 1.3133, ""contribution"": 0.2686}, ""Property_001"": {""ratio"": 1.9115, ""contribution"": 0.2581}, ""Property_024"": {""ratio"": 1.2784, ""contribution"": 0.2221}, ""Property_013"": {""ratio"": 1.2777, ""contribution"": 0.1712}, ""Property_049"": {""ratio"": 1.21, ""contribution"": 0.1361}, ""Property_030"": {""ratio"": 1.6649, ""contribution"": 0.0945}, ""Property_023"": {""ratio"": 1.3014, ""contribution"": 0.0866}, ""Property_068"": {""ratio"": 1.2507, ""contribution"": 0.0457}, ""Property_113"": {""ratio"": 1.0673, ""contribution"": 0.0336}, ""Property_110"": {""ratio"": 0.7213, ""contribution"": 0.0}}"
2026-03-06,39.97,2.5139,18.52,WARNING,373386,Property_078,"{""Property_078"": {""ratio"": 1.5773, ""contribution"": 0.5773}, ""Property_055"": {""ratio"": 1.4714, ""contribution"": 0.4204}, ""Property_070"": {""ratio"": 1.3862, ""contribution"": 0.3311}, ""Property_001"": {""ratio"": 1.9166, ""contribution"": 0.2595}, ""Property_024"": {""ratio"": 1.3215, ""contribution"": 0.2565}, ""Property_013"": {""ratio"": 1.3368, ""contribution"": 0.2076}, ""Property_049"": {""ratio"": 1.243, ""contribution"": 0.1575}, ""Property_023"": {""ratio"": 1.3355, ""contribution"": 0.0965}, ""Property_030"": {""ratio"": 1.6591, ""contribution"": 0.0936}, ""Property_113"": {""ratio"": 1.1264, ""contribution"": 0.0632}, ""Property_068"": {""ratio"": 1.2781, ""contribution"": 0.0507}, ""Property_110"": {""ratio"": 0.7465, ""contribution"": 0.0}}"
