id,D-30,D-21,D-14,D-7,D-0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.019627218393612766,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.09098035838206278,0.13437695641485103,0.01259514824312597
8,0.060467502465949306,0.15317382879967145,0.08493181658615762,0.050140074309726314,0.0430986460213924
9,0.05905921680828252,0.0,0.0,0.0007838596268382581,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
12,0.0,0.025403828018817222,0.008928500636403332,0.0,0.0
13,0.00849983532011042,0.0,0.0,0.019627218393612766,0.023852075366613112
14,0.0,0.0,0.0,0.03364712044136608,0.02071679683445803
15,0.021841699302852957,0.14659652327133707,0.08887458212502888,0.06851297960111619,0.0
16,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.06891996608617176,0.06808431428482328
18,0.0,0.0,0.06480688234512653,0.06915597757555557,0.04879437505164288
19,0.0,0.06576016394027832,0.06979897554999494,0.06755905212839294,0.05530378838783777
20,0.03230178931261381,0.11069635758939766,0.06520139288878206,0.037220411511734636,0.019430800885579292
21,0.06520139288878206,0.03957807075134552,0.019983715375227435,0.0,0.0
22,0.03957807075134552,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0036666476067226377,0.21104243893642263,0.4817786433263007
24,0.0,0.21104243893642263,0.4817786433263007,0.6729546911047722,0.15738546884542118
25,0.6797239138040367,0.15738546884542118,0.06829864694296973,0.14292922978704303,0.25685226756390894
26,0.17506070089748288,0.06829864694296973,0.14292922978704303,0.25685226756390894,0.23274285538009093
27,0.0,0.0,0.23085949147053614,0.62459074521303,0.8455716506287643
28,0.32823879109485266,0.8252232155270827,1.0487781020626952,1.1567026971788608,1.5651350751153903
29,0.5556218069219173,0.9950736857231616,1.1395396054560551,1.5170461552658299,2.005413847808415
30,0.9258122576500452,1.1395396054560551,1.5170461552658299,2.005413847808415,2.3431174220405406
31,1.6113216870862883,1.3370709978392745,0.5716624687047532,0.5785133468243605,0.7065436980124631
32,0.5941786850096251,0.5739372805505176,0.9498023448806583,1.8077434690417755,1.3162434380825312
33,1.7050310283920322,1.6204233705686344,2.5560653548405563,2.6441169852304083,3.40803443934184
34,3.975230760503958,4.644307652587104,5.564353046735465,6.734074704921803,6.288994599242387
35,6.471254042255503,5.624012099166062,4.795583396555816,4.726191347110209,4.603060254738022
36,5.569001938969567,4.762501705504785,4.684645174099225,4.528707168311491,4.15631591639831
37,4.841212048086919,4.603060254738022,4.36192142933756,3.895720493848904,3.4183223898527393
38,4.310500948299627,3.606677494550098,3.041600101180391,2.811109364466622,2.8618972212276654
39,3.2737609714807756,2.4096603044335536,1.8758026946691073,1.8450935702945896,2.309419050648052
40,1.7857547612141134,1.8246275101876397,1.8759192449815876,2.8267606476477187,2.885460867862166
41,2.8147236262068307,3.362483120496578,3.244864923867622,2.7957377773156016,2.242538467566051
42,3.362483120496578,2.9536381473665405,2.5685123740021107,2.048959096792948,1.6123862116978438
43,2.2904707191205884,1.6171206933149043,1.3216216658244548,1.5820596179903075,1.8427249772944079
44,1.3216216658244548,1.7342428630112776,1.8505260821053633,1.0175081208022783,0.6888095779066741
45,1.8639661420342932,1.3247654070078272,0.7805965126920349,0.8147837229523579,0.9441232878887242
46,1.3247654070078272,0.6888095779066741,0.8534422663095957,1.1949864613676189,1.25767814980209
47,0.8880512538008366,1.1562718351873487,1.2419622093527476,1.4406172197522409,1.5810897404016948
48,1.3830145586078288,1.5650014241668317,1.630343218057778,1.7074071806040183,1.7633487184311911
49,1.5800128155087003,1.1990139965533824,1.3007292788015161,1.3054905603552418,1.1672558927719494
50,1.0054195016735972,1.382267667922696,1.5425014447698662,1.5155461363732112,0.9946303192139525
51,1.5155461363732112,1.0494727003176891,0.9669980504111693,0.9071082470578238,1.376958765962316
52,1.376958765962316,1.2715220206949367,0.7424670202871565,0.5815286887837722,0.8052989288066966
53,1.0905684286655453,0.3389470822091623,0.44661937728890055,0.6500497412473281,0.9898384451442834
54,0.5442866797313979,0.44661937728890055,0.6500497412473281,0.9898384451442834,1.346488646972172
55,0.36636274684002823,0.6500497412473281,0.9898384451442834,1.346488646972172,1.515806203141146
56,0.7403654230329084,1.0718562567457603,1.3252798454778751,1.6760865130578806,1.4626988802378866
57,1.1237354993463713,1.4200927716029585,1.5821134465257105,1.8160633526317285,1.9011021717236636
58,1.4227500628393335,1.5217789230248444,1.8471350950185423,2.0715890894140636,2.2705208269565134
59,2.0856407391936993,1.72039495034974,1.8014105822352409,1.861204141221624,1.9360216956817848
60,1.1749701528763403,2.9844322274966264,2.6739343086126883,2.5978681649981272,2.3458500533074327
61,1.1597109017749683,1.3476025214784153,2.948245553852514,2.7672145134556887,3.058990781853679
62,2.362234569649906,2.365910006930625,1.6954021308543643,1.3831319036552687,0.5938171504638746
63,2.0594194475111194,1.694891393093395,1.137459275373868,0.7701340293856934,0.8168473264076682
64,1.8668111908599225,2.271262732204436,2.3842542187130125,2.097950395335432,1.4352439499615524
65,2.2170932686475866,1.4352439499615524,1.5123009289944356,1.2962697866485289,1.6055029983585445
66,1.4905863183849364,1.5126382895345438,2.1127088010801396,4.741666793944214,5.056471380689499
67,2.5119947894064105,5.019999878104392,5.380635484611776,4.640833397099667,2.6277528150964384
68,5.019999878104392,5.334284541883482,3.684955624759317,2.870583474158039,1.3386935163841687
69,5.433504573409424,3.30341734071324,2.764343945524318,1.4055771531614507,1.8577659228636234
70,2.6277528150964384,1.3386935163841687,1.751475698725444,3.0622931834366116,4.416681668367925
71,1.607050424610025,3.1675082444713505,4.573409228070386,3.6699234534060574,2.2300634057012987
72,4.024084076390273,2.2300634057012987,1.5294248856843053,1.7163221779039364,1.842995903509031
73,1.9002346464321895,1.6517383107300556,1.8073588011927821,2.09586923914039,2.336155943475907
74,1.9785458451468525,2.4774427006965714,2.839089681096861,2.614081095244101,2.327029443214004
75,0.6817235079823514,0.5726092689542002,0.35849709703946314,0.47566621678499404,1.0624272109818014
