property_id,window_days,be_present,be_total,be_rate,ctrl_present,ctrl_total,ctrl_rate,analysis_type,test_type,p_value,odds_ratio,effect_size,significant,be_freq_mean,ctrl_freq_mean,p_adjusted
Property_022,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9999999916355813,0.7507295979953245,,False,348.4609929078014,464.16312056737587,1.0
Property_023,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_023,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.6703909105677057,0.9937073587371498,,False,2282.872340425532,2297.3286052009457,1.0
Property_024,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_024,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.017322811285795534,1.139954598164272,,False,548.4609929078014,481.12529550827423,0.17396365085177504
Property_025,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_025,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9999931547745208,0.7120470846962069,,False,664.3971631205674,933.080378250591,1.0
Property_026,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_026,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.8780791423919372,0.9817226232144372,,False,3146.304964539007,3204.8817966903075,1.0
Property_027,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_027,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9992883743698204,0.8981393402077547,,False,669.6170212765958,745.5602836879433,1.0
Property_028,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_028,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9996226700114419,0.8952208729474103,,False,2063.2978723404253,2304.791962174941,1.0
Property_029,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_029,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9999554556636862,0.8535605479606267,,False,286.79432624113474,335.9976359338061,1.0
Property_030,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
