year_month,risk_mean,risk_max,warning_days,n_days,Property_055_contrib_mean,Property_083_contrib_mean,Property_042_contrib_mean,Property_110_contrib_mean,Property_087_contrib_mean,Property_002_contrib_mean,Property_070_contrib_mean,Property_113_contrib_mean,Property_055_ratio_mean,Property_083_ratio_mean,Property_042_ratio_mean,Property_110_ratio_mean,Property_087_ratio_mean,Property_002_ratio_mean,Property_070_ratio_mean,Property_113_ratio_mean,Property_055_ratio_max,Property_083_ratio_max,Property_042_ratio_max,Property_110_ratio_max,Property_087_ratio_max,Property_002_ratio_max,Property_070_ratio_max,Property_113_ratio_max,consec_warning_months,risk_mean_delta,risk_mean_accel
2007-06,0.06866666666666667,0.59,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6669466666666667,0.0,0.0,0.7539733333333333,0.0,0.0,0.7719733333333333,0.69252,0.7196,0,0,0.9958,0,0,0.8158,0.7521,0,0.06866666666666667,0.14900000000000002
2007-07,0.16838709677419353,0.63,0,31,0.0,0.0,0.0,0.001532258064516129,0.0,0.0,0.0,0.0,0.6811806451612904,0.0,0.0,0.7242612903225807,0.0,0.0,0.776174193548387,0.7229322580645161,0.7295,0,0,1.066,0,0,0.8249,0.7765,0,0.09972043010752686,0.031053763440860194
2007-08,1.0009677419354839,2.33,0,31,0.0,0.0,0.0,0.01826774193548387,0.0,0.0,0.0,0.0,0.7121741935483871,0.0,0.0,1.0304548387096775,0.0,0.0,0.8340354838709677,0.7887580645161291,0.8685,0,0,1.1734,0,0,0.9201,0.8746,0,0.8325806451612904,0.7328602150537635
2007-09,0.24966666666666668,1.27,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7356433333333333,0.0,0.0,0.6573533333333333,0.0,0.0,0.74919,0.69531,0.8452,0,0,0.8168,0,0,0.8902,0.8385,0,-0.7513010752688172,-1.5838817204301074
2007-10,0.27225806451612905,1.26,0,31,0.0,0.0,0.0,0.005938709677419355,0.0,0.0,0.0,0.0,0.6151903225806451,0.0,0.0,0.7219870967741935,0.0,0.0,0.6412516129032257,0.5758516129032258,0.854,0,0,1.0926,0,0,0.8265,0.7362,0,0.022591397849462375,0.7738924731182796
2007-11,1.0433333333333334,1.76,0,30,0.0,0.0,0.0,0.04060333333333333,0.0,0.0,0.0,0.0,0.86232,0.0,0.0,1.0838500000000002,0.0,0.0,0.8284266666666666,0.7569733333333333,0.9245,0,0,1.3127,0,0,0.8812,0.8013,0,0.7710752688172045,0.748483870967742
2007-12,0.3325806451612903,1.05,0,31,0.0,0.0,0.0,0.008083870967741935,0.0,0.0,0.0,0.0,0.817174193548387,0.0,0.0,0.875658064516129,0.0,0.0,0.8111290322580645,0.751958064516129,0.8614,0,0,1.1734,0,0,0.8657,0.8009,0,-0.7107526881720432,-1.4818279569892476
2008-01,2.99741935483871,8.8,0,31,0.000967741935483871,0.0,0.0,0.1179967741935484,0.0,0.0,0.007806451612903225,0.0,0.9047645161290322,0.0,0.0,1.2068935483870968,0.0,0.0,0.8627096774193548,0.7770354838709678,1.0185,0,0,1.8152,0,0,1.0584,0.979,0,2.6648387096774195,3.3755913978494627
2008-02,3.7893103448275864,10.89,0,29,0.0010965517241379311,0.0,0.0,0.08250344827586206,0.0,0.0,0.023334482758620687,0.002003448275862069,0.8592896551724137,0.0,0.0,1.2004172413793104,0.0,0.0,0.9525551724137931,0.866948275862069,1.0137,0,0,1.8059,0,0,1.1348,1.0271,0,0.7918909899888766,-1.872947719688543
2008-03,6.053548387096774,9.43,0,31,0.07130645161290323,0.0,0.0,0.09980322580645161,0.0,0.0,0.05053548387096774,0.013738709677419355,1.0697709677419356,0.0,0.0,1.2819064516129033,0.0,0.0,1.058951612903226,1.003416129032258,1.2032,0,0,1.4373,0,0,1.1362,1.0953,0,2.264238042269188,1.4723470522803113
2008-04,3.189,9.4,0,30,0.033183333333333336,0.0,0.0,0.0,0.0,0.0,0.029336666666666667,0.013673333333333334,0.9655266666666668,0.0,0.0,0.8296833333333333,0.0,0.0,0.97926,0.98983,1.1575,0,0,0.9971,0,0,1.1404,1.1093,0,-2.8645483870967743,-5.128786429365962
2008-05,0.6887096774193548,4.76,0,31,0.015700000000000002,0.0,0.0,0.013632258064516128,0.0,0.0,0.0,0.0,0.9106483870967742,0.0,0.0,0.844574193548387,0.0,0.0,0.8626483870967742,0.8365645161290323,1.1472,0,0,1.3074,0,0,0.962,0.9249,0,-2.5002903225806454,0.36425806451612885
2008-06,14.584333333333332,23.78,5,30,0.4009933333333333,0.0,0.0,0.14509,0.0,0.0,0.05413666666666666,0.040850000000000004,1.4495566666666666,0.0,0.0,1.4098033333333333,0.0,0.0,1.0612133333333333,1.07555,1.5858,0,0,1.6614,0,0,1.1083,1.1617,0,13.895623655913976,16.395913978494622
2008-07,33.450322580645164,38.67,31,31,0.46677096774193544,0.0,0.0,0.38085161290322583,0.0,0.0,0.25502580645161294,0.15732903225806452,1.5232999999999999,0.0,0.0,2.075722580645161,0.0,0.0,1.2974903225806451,1.3149741935483872,1.5507,0,0,2.5537,0,0,1.3885,1.3903,1,18.86598924731183,4.970365591397854
2008-08,15.394838709677419,25.62,12,31,0.21238387096774194,0.0,0.0,0.2817677419354839,0.0,0.0,0.1027225806451613,0.06711935483870969,1.2381064516129032,0.0,0.0,1.795816129032258,0.0,0.0,1.119832258064516,1.1343838709677418,1.4083,0,0,1.9478,0,0,1.2395,1.243,0,-18.055483870967745,-36.92147311827958
2008-09,31.171,43.74,27,30,0.3879533333333333,0.0,0.0,0.25495999999999996,0.0,0.0,0.2754333333333333,0.13361333333333333,1.4349233333333333,0.0,0.0,1.72017,0.0,0.0,1.32131,1.2675066666666666,1.5961,0,0,2.1387,0,0,1.5073,1.3734,1,15.77616129032258,33.831645161290325
2008-10,76.5441935483871,100.0,31,31,0.7786677419354838,0.0,0.0,0.46780322580645156,0.0,0.0,0.7377967741935484,0.3540935483870968,1.8729677419354838,0.0,0.0,2.3213096774193547,0.0,0.0,1.860632258064516,1.7089516129032258,2.0746,0,0,3.2658,0,0,2.1684,2.0027,2,45.3731935483871,29.59703225806452
2008-11,84.91266666666667,100.0,30,30,0.7246433333333333,0.0,0.0,0.49755000000000005,0.0,0.0,0.7673133333333334,0.41974666666666666,1.81241,0.0,0.0,2.4053666666666667,0.0,0.0,1.8950766666666667,1.84038,2.0029,0,0,2.9409,0,0,2.1206,2.0061,3,8.368473118279567,-37.00472043010753
2008-12,61.339677419354835,74.65,31,31,0.5826677419354839,0.0,0.0,0.3350774193548387,0.0,0.0,0.4833,0.2753193548387097,1.6532354838709675,0.0,0.0,1.9464677419354839,0.0,0.0,1.5637645161290323,1.5512225806451612,1.7722,0,0,2.4583,0,0,1.6631,1.6138,4,-23.57298924731183,-31.9414623655914
2009-01,45.45483870967742,53.16,31,31,0.45768709677419356,0.0,0.0,0.20606774193548388,0.0,0.0,0.30700967741935486,0.1583258064516129,1.5131258064516129,0.0,0.0,1.5820516129032258,0.0,0.0,1.3581225806451611,1.3170032258064517,1.6136,0,0,1.9849,0,0,1.4148,1.4258,5,-15.884838709677418,7.688150537634414
2009-02,35.93714285714286,47.06,28,28,0.3380571428571429,0.0,0.0,0.21005714285714286,0.0,0.0,0.2382,0.12860714285714286,1.379,0.0,0.0,1.5933357142857143,0.0,0.0,1.2778607142857141,1.2574892857142856,1.4789,0,0,2.1878,0,0,1.3657,1.3541,6,-9.517695852534558,6.367142857142859
2009-03,46.817741935483866,54.27,31,31,0.42999677419354837,0.0,0.0,0.2481032258064516,0.0,0.0,0.3959741935483871,0.21814516129032258,1.4820677419354837,0.0,0.0,1.7007870967741936,0.0,0.0,1.4618967741935485,1.4367677419354838,1.5545,0,0,2.2939,0,0,1.508,1.4784,7,10.880599078341007,20.398294930875565
2009-04,25.949,32.58,30,30,0.14850333333333332,0.0,0.0,0.07183333333333333,0.0,0.0,0.31026333333333334,0.15593,1.16649,0.0,0.0,1.1978866666666665,0.0,0.0,1.36193,1.3121966666666665,1.3067,0,0,1.4956,0,0,1.3932,1.3682,8,-20.868741935483865,-31.74934101382487
2009-05,16.008387096774193,28.12,8,31,0.03210967741935484,0.0,0.0,0.06906451612903226,0.0,0.0,0.21676129032258065,0.11445161290322581,1.0252741935483871,0.0,0.0,1.1863129032258064,0.0,0.0,1.2528548387096776,1.2291354838709678,1.1653,0,0,1.4068,0,0,1.3651,1.3315,0,-9.940612903225809,10.928129032258056
2009-06,22.793333333333333,26.53,28,30,0.07516666666666666,0.0,0.0,0.18127333333333334,0.0,0.0,0.22390666666666667,0.13967666666666664,1.08427,0.0,0.0,1.5119933333333333,0.0,0.0,1.26118,1.27965,1.1676,0,0,1.6985,0,0,1.3037,1.3175,1,6.78494623655914,16.72555913978495
2009-07,24.761935483870968,28.79,31,31,0.13961612903225806,0.0,0.0,0.09840645161290323,0.0,0.0,0.2554774193548387,0.16601290322580645,1.1565161290322579,0.0,0.0,1.2492806451612903,0.0,0.0,1.2980129032258063,1.3323806451612905,1.2272,0,0,1.5328,0,0,1.3573,1.3974,2,1.9686021505376345,-4.816344086021505
