year_month,risk_mean,risk_max,risk_std,n_days,warning_days,suicide,mental_disorder,substance_disorder,unemployment
2010-10,30.74225806451613,47.45,15.492591500386549,31,20,1391.0,417.0,72.0,3.3
2010-11,39.61466666666667,42.72,2.0321107309860134,30,30,1151.0,468.0,49.0,3.0
2010-12,31.613548387096774,39.73,3.407436522653645,31,31,1057.0,478.0,70.0,3.5
2011-01,34.45935483870968,41.89,4.259891184434854,31,31,944.0,503.0,69.0,3.8
2011-02,24.291071428571428,44.74,10.124536144577545,28,18,1064.0,468.0,71.0,4.5
2011-03,47.07741935483871,52.69,3.210030080587962,31,31,1281.0,424.0,63.0,4.3
2011-04,36.241,41.82,4.5135003237414075,30,30,1452.0,412.0,59.0,3.7
2011-05,17.517096774193547,27.28,5.264367764222903,31,13,1650.0,395.0,60.0,3.2
2011-06,32.37766666666667,38.53,3.1568171261281655,30,30,1616.0,378.0,57.0,3.3
2011-07,25.960645161290323,36.13,4.787391033039376,31,31,1456.0,342.0,51.0,3.3
2011-08,65.43709677419355,86.4,20.936527918695656,31,31,1512.0,415.0,51.0,3.0
2011-09,37.31333333333334,52.81,9.901605698183445,30,30,1365.0,359.0,50.0,3.0
2011-10,46.788709677419355,72.72,16.98036645500434,31,31,1324.0,453.0,60.0,2.9
2011-11,33.779333333333334,44.63,5.731694058619072,30,30,1199.0,460.0,65.0,2.9
2011-12,39.420967741935485,45.14,3.245843860322217,31,31,1043.0,532.0,65.0,3.0
2012-01,29.344838709677422,38.1,8.20305141231714,31,24,1018.0,587.0,73.0,3.5
2012-02,20.525172413793104,26.97,3.8578376814421143,29,16,1133.0,665.0,64.0,4.2
2012-03,14.505161290322581,21.43,3.0220124321029767,31,3,1337.0,548.0,84.0,3.7
2012-04,11.848666666666666,16.36,2.5463845002254675,30,0,1348.0,441.0,62.0,3.5
2012-05,18.292258064516126,32.41,9.951288261552678,31,15,1344.0,411.0,68.0,3.1
2012-06,29.893666666666665,34.13,2.2436200479448916,30,30,1283.0,387.0,46.0,3.2
2012-07,33.62129032258064,36.72,1.6450972452218602,31,31,1186.0,333.0,45.0,3.1
2012-08,21.281612903225806,35.93,9.902945049083192,31,15,1133.0,411.0,54.0,3.0
2012-09,20.561666666666667,25.65,2.6005226044185727,30,22,1195.0,382.0,51.0,2.9
2012-10,20.426774193548386,35.25,8.674554892364517,31,14,1208.0,458.0,58.0,2.8
2012-11,27.403333333333332,34.16,3.0900332922359337,30,30,1058.0,499.0,60.0,2.8
2012-12,14.597741935483873,21.56,3.745545540752304,31,4,917.0,452.0,54.0,2.9
2013-01,13.625483870967741,26.36,7.622891769186492,31,11,1275.0,538.0,63.0,3.4
2013-02,15.08607142857143,27.05,8.181023362267599,28,11,1162.0,457.0,59.0,3.9
2013-03,14.346774193548388,21.49,4.93129150567866,31,8,1388.0,513.0,68.0,3.5
2013-04,26.408666666666665,31.72,4.1128031663401385,30,29,1255.0,440.0,49.0,3.2
